Unnamed: 0,Crisis,Year,Type of Crisis,Full Date
115,Washington Naval Conference of 1922,1922,Politics,
116,The Union of Soviet Socialist Republics (Soviet Union) is created in 1922.,1922,Cold War,
117,"The 1922 Shantou typhoon killed upwards of 100,000 people in southern China.",1922,Natural Disaster,
118,Karl Ferdinand Braun invents the modern electronic cathode-ray tube in 1897. The CRT became a commercial product in 1922.,1922,Technology,
119,"Howard Carter opens the innermost shrine of King Tutankhamun's tomb near Luxor, Egypt, 1922.",1922,Science  ,
120,Insulin was first used as a medication in Canada by Charles Best and Frederick Banting in 1922.[12],1922,Science  ,
121,The tomb of Tutankhamun is discovered intact by Howard Carter (1922). This begins a second revival of Egyptomania.,1922,Cultural,
122,Second Italo-Senussi War (1923–1932),1923,Africa,
123,"Benito Mussolini leader of the National Fascist Party became Prime Minister of Italy, shortly thereafter creating the world's first fascist government. The Fascist regime establishes a totalitarian state led by Mussolini as a dictator. The Fascist regime restores good relations between the Roman Catholic Church and Italy with the Lateran Treaty, which creates Vatican City. The Fascist regime pursues an aggressive expansionist agenda in Europe such as by raiding the Greek island of Corfu in 1923, pressuring Albania to submit to becoming a de facto Italian protectorate in the mid-1920s, and holding territorial aims on the region of Dalmatia in Yugoslavia.",1923,Europe,
124,The Great Kantō earthquake struck the main Japanese island of Honshū on 1 September 1923. The earthquake had a magnitude of 7.9 on the moment magnitude scale.,1923,Natural Disaster,
125,"The Immigration Act of 1924 places restrictions on immigration. National quotas curbed most Eastern and Southern European nationalities, further enforced the ban on immigration of East Asians, South Asians, and Southeast Asians, and put mild regulations on nationalities from the Western Hemisphere (Latin Americans).",1924,Legal,
126,"The Dawes Plan, through which the U.S. made significant loans to Germany in order to help stabilize its economy and make war reparations payments, was enacted in 1924.",1924,Economics,
127,Great Syrian Revolt (1925–1927),1925,Middle East,1965-01-20 00:00:00
128,"Geneva Protocol 1925, outlaws poison gas",1925,Legal,
129,"The Scopes trial (1925), which declared that John T. Scopes had violated the law by teaching evolution in schools, creating tension between the competing viewpoints of creationism and evolution.",1925,Legal,
130,"The Tri-State tornado outbreak struck the United States on 18 March 1925. The Tri-State Tornado, which the outbreak gets its name from, became the deadliest tornado in US history, as it killed 695 people, whom 613 of which in Illinois, 71 in Indiana, and 12 (possibly more) in Missouri. The outbreak as a whole, killed 751.",1925,Natural Disaster,
131,"The tornado, was the deadliest in history, until 1989, where a F3 tornado hit Bangladesh, killing 1300. However, The Tri-State Tornado is still the 2nd deadliest in history, and the deadliest in the United States.",1925,Natural Disaster,
132,"Record companies (such as Victor, Brunswick and Columbia) introduce an electrical recording process on their phonograph records in 1925 (that had been developed by Western Electric), resulting in a more lifelike sound.",1925,Technology,
133,Clarence Birdseye invents a process for frozen food in 1925.,1925,Technology,
134,Cristero War in Mexico (1926-1929),1926,South America,
135,United Kingdom general strike (1926).,1926,England,
136,The Northern Expedition (1926–1928),1926,Asia ,
137,"Warner Brothers produces the first movie with a soundtrack Don Juan in 1926, followed by the first Part-Talkie The Jazz Singer in 1927, the first All-Talking movie Lights of New York in 1928 and the first All-Color All-Talking movie On with the Show, 1929. Silent films start giving way to sound films. By 1936, the transition phase arguably ends, with Modern Times being the last notable silent film.",1926,Technology,
138,Robert Goddard makes the first flight of a liquid-fueled rocket in 1926.,1926,Technology,
139,Unification of Saudi Arabia,1927,Middle East,
140,Chinese Civil War (first phase 1927–1936),1927,Asia ,
141,Ararat rebellion (1927–1930),1927,Middle East,
142,Geneva Naval Conference 1927,1927,Europe,
143,The Chinese Civil War begins (1927–1937).,1927,Asia ,
144,"The 1927 Gulang earthquake struck Tibet and China, measuring 7.6 on the moment magnitude scale and killing 40,900 people.",1927,Natural Disaster,
145,The first selective Jukeboxes being introduced in 1927 by the Automated Musical Instrument Company.,1927,Technology,
146,Harold Stephen Black revolutionizes the field of applied electronics by inventing the negative feedback amplifier in 1927.,1927,Technology,
147,"Charles Lindbergh becomes the first person to fly solo across the Atlantic Ocean (May 20–21, 1927), nonstop from New York to Paris.[11]",1927,Technology,
148,"Smoking in America was deemed socially acceptable, with the first magazine advertising women smoking for the first time in 1927.",1927,Cultural,
149,"Chinese Civil War (1927–1949) – The ruling Kuomintang and the rebel Chinese Communist Party fought a civil war for control of China. The Communists consolidated territory in the early 1930s and proclaimed a short-lived Chinese Soviet Republic that collapsed upon Kuomintang attacks, forcing a mass retreat known as the Long March. The Kuomintang and Communists attempted to put away their differences after 1937 to fight the Japanese invasion of China, but intermittent clashes continued through the remainder of the 1930s. Even with some clashes they all fought the Japanese.",1927,Asia ,
150,Kongo-Wara rebellion (1928–1931),1928,Africa,
151,"Afghan Civil War (November 14, 1928 – October 13, 1929)",1928,Middle East,
152,Kellogg–Briand Pact (1928) signed by most nations promising not to declare war.,1928,Europe,
153,"The New Economic Policy is created by the Bolsheviks in the Russian Soviet Federative Socialist Republic, to be replaced by the first five-year plan in 1928.",1928,Economics,
154,"The 1928 Okeechobee hurricane killed 4,112 people in the Caribbean and the United States, resulting in major flooding around Lake Okeechobee.",1928,Natural Disaster,
155,"John Logie Baird invents the first working mechanical television system (1925). In 1928, he invents and demonstrates the first color television.",1928,Technology,
156,The first electric razor is patented in 1928 by the American manufacturer Col. Jacob Schick.,1928,Technology,
157,"In 1928, Alexander Fleming discovers penicillin.",1928,Science  ,
158,"In the Kingdom of Afghanistan, Amanullah Khan's reforms cause conflict with conservative factions, resulting in the Afghan Civil War.",1929,Asia ,
159,"Economic boom ended by ""Black Tuesday"" (October 29, 1929); the stock market crashes, leading to the Great Depression. The market actually began to drop on Thursday October 24, 1929, and the fall continued until the huge crash on Tuesday October 29, 1929.",1929,Economics,
160,"Twiglets are invented in December 1929 by Frenchman Rondalin Zwadoodie, and sold by Peek Freans.",1929,Cultural,
161,"J. B. M. Hertzog of South Africa, whose National Party had won the 1929 election alone after splitting with the Labour Party, received much of the blame for the devastating economic impact of the Depression.",1929,Africa,
162,"The Great Depression is considered to have begun with the fall of stock prices on September 4, 1929, and then the stock market crash known as Black Tuesday on October 29, 1929, and lasted through much of the 1930s.",1929,Economics,
163,"London Naval Treaty, 1930",1930,Foreign,
164,The major sport was baseball and the most famous player was Babe Ruth.,1930,Sports,
165,"The Kingdom of Hejaz and Nejd is proclaimed the Kingdom of Saudi Arabia, concluding the country's unification under the rule of Ibn Saud.",1930,Middle East,
166,"The Republican parties win the local elections, and proclaim the Second Republic, kicking out the monarchy of Alfonso XIII of Borbón.",1930,Europe,
167,In March 1930 Mohandas Gandhi leads the non-violent Satyagraha movement in the Declaration of the Independence of India and the Salt March.,1930,Asia ,1969-01-20 00:00:00
168,"The Great Depression seriously affects the economic, political, and social aspects of society across the world.",1930,Economics,12/1969 - 11/1970
169,"The League of Nations collapses as countries like Germany, the Kingdom of Italy, and the Empire of Japan abdicate the League.",1930,Asia ,
170,"In the Soviet Union, agricultural collectivization and rapid industrialization take place.[5] Millions died during the Holodomor.",1930,Cold War,
171,More than 25 million people migrate to cities in the Soviet Union.,1930,Cold War,
172,Amelia Earhart receives major attention in the 1930s as the first woman pilot to conduct major air flights. Her disappearance for unknown reasons in 1937 while on flight prompted search efforts that failed.,1930,Feminism,
173,Southern Great Plains devastated by decades-long Dust Bowl,1930,Natural Disaster,
174,Getúlio Vargas became the President of Brazil after the 1930 coup d'état.,1930,South America,
175,Major international media attention follows Mohandas Gandhi's peaceful resistance movement against the British colonial rule in India.,1930,Asia ,
176,The New Guinea Highlands were first visited by Western explorers in the 1930s. The highland valleys were found to be inhabited by over a million people.,1930,Foreign,
177,"The Dust Bowl, or ""Dirty Thirties"", a period of severe dust storms causing major ecological and agricultural damage to American and Canadian prairie lands from 1930 to 1936 (in some areas until 1940). Caused by extreme drought coupled with strong winds and decades of extensive farming without crop rotation, fallow fields, cover crops, or other techniques to prevent erosion, it affected an estimated 100,000,000 acres (400,000 km2) of land (traveling as far east as New York and the Atlantic Ocean), caused mass migration (which was the inspiration for the Pulitzer Prize-winning novel The Grapes of Wrath by John Steinbeck), food shortages, multiple deaths and illness from sand inhalation (see History in Motion), and a severe reduction in the going wage rate.",1930,Natural Disaster,
178,"The entire decade is marked by widespread unemployment and poverty, although deflation (i.e. falling prices) was limited to 1930–32 and 1938–39. Prices fell 7.02% in 1930, 10.06% in 1931, 9.79% in 1932, 1.41% in 1938 and 0.71% in 1939.[8]",1930,Economics,
179,"Economic interventionist policies increase in popularity as a result of the Great Depression in both authoritarian and democratic countries. In the Western world, Keynesianism replaces classical economic theory.",1930,Economics,
180,Rapid industrialization takes place in the Soviet Union.,1930,Economics,
181,Drought conditions in Oklahoma and Texas caused the Dust Bowl which forced tens of thousands of families to abandon their farms and seek employment elsewhere.,1930,Economics,
182,"Astronomer Clyde Tombaugh discovers Pluto in 1930, which goes on to be announced as the ninth planet in the Solar System.",1930,Science  ,
183,Albert Einstein's equations form the basis for creation of the atomic bomb.,1930,Science  ,
184,"The Volkswagen Beetle, one of the best-selling automobiles ever produced, had its roots in Nazi Germany in the late 1930s. Created by Ferdinand Porsche and his chief designer Erwin Komenda. The car would prove to be successful, and is still in production today as the New Beetle.",1930,Technology,
185,First intercontinental commercial airline flights.,1930,Technology,
186,The chocolate chip cookie is developed in 1938 by Ruth Graves Wakefield.,1930,Technology,
187,The Frying Pan becomes the first electric lap steel guitar ever produced.,1930,Technology,
188,Frank Whittle obtained his first patent for the turbo-jet engine in 1930. He tested his first jet engine on the ground in 1937.,1930,Technology,
189,"On March 8, 1930, the first frozen foods of Clarence Birdseye were sold in Springfield, Massachusetts, United States.",1930,Technology,
190,Nestlé releases the first white chocolate candy as the Milkybar.;[9],1930,Technology,
191,"Ub Iwerks produced the first Color Sound Cartoon in 1930, a Flip the Frog cartoon entitled Fiddlesticks;",1930,Technology,
192,"In 1930, Warner Brothers released the first All-Talking All-Color wide-screen movie, Song of the Flame; in 1930 alone, Warner Brothers released ten All-Color All-Talking feature movies in Technicolor and scores of shorts and features with color sequences;",1930,Technology,
193,Air mail service across the Atlantic Ocean began;,1930,Technology,
194,"The Z3 as world's first working programmable, fully automatic computing machine was built.",1930,Technology,
195,The first test of technology for an atomic weapon (Trinity test) as part of the Manhattan Project.,1930,Technology,
196,"The Empire of Japan captures Manchuria in 1931, creating the puppet state of Manchukuo. A puppet government was created, with Puyi, the last Qing dynasty Emperor of China, installed as the nominal regent and emperor.",1931,Asia ,1973-01-20 00:00:00
197,"In 1930, Miguel Primo de Rivera, Prime Minister of Spain and head of a military dictatorship is forced to resign in response to a financial crisis (part of the Great Depression). Alfonso XIII of Spain, who had previously backed the dictatorship, attempts to return gradually to the previous system and restore his prestige. This failed utterly, as the King was considered a supporter of the dictatorship, and more and more political forces called for the establishment of a republic. In 1931, republican and socialist parties won a major victory in the local elections, while the monarchists were in decline. Street riots ensued, calling for the removal of the monarchy. The Spanish Army declared that they would not defend the King. Alfonso flees the country, effectively abdicating and ending the Bourbon Restoration phase which had started in the 1870s. A Second Spanish Republic emerges.",1931,Europe,1973-10-10 00:00:00
198,"Canada and other dominions under the British Empire sign the Statute of Westminster in 1931, establishing effective parliamentary independence of Canada from the parliament of the United Kingdom.",1931,Canada,1973-12-06 00:00:00
199,Chinese Communist Party leader Mao Zedong forms the small enclave state called the Chinese Soviet Republic in 1931.,1931,Asia ,1973 - 1974
200,"The Gandhi–Irwin Pact is signed by Mohandas Gandhi and Lord Irwin, Viceroy of India, on March 5, 1931. Gandhi agrees to end the campaign of civil disobedience being carried out by the Indian National Congress (INC) in exchange for Irwin accepting the INC to participate in roundtable talks on British colonial policy in India.",1931,Asia ,11/1973 - 3/1975
201,"Australia and New Zealand sign the Statute of Westminster in 1931 which established legislative equality between the self-governing dominions of the British Empire and the United Kingdom, with a few residual exceptions. The Parliament of Australia and Parliament of New Zealand gain full legislative authority over their territories, no longer sharing powers with the Parliament of the United Kingdom.",1931,Australasia,
202,The China floods of 1931 are among the deadliest natural disasters ever recorded.,1931,Natural Disaster,
203,"In 1931, RCA Victor introduced the first long-playing phonograph record.",1931,Technology,
204,Alan Blumlein invented the stereophonic sound in 1931.,1931,Technology,
205,"In 1931 American aviators Clyde Edward Pangborn and Hugh Herndon, Jr., complete the first non-stop flight across the Pacific Ocean, flying their plane, Miss Veedol, from Misawa, Japan, to East Wenatchee, Washington, in 41½ hours.[10]",1931,Technology,
206,Conference for the Reduction and Limitation of Armaments 1932-1934,1932,Europe,
207,"Colombia–Peru War (September 1, 1932 – May 24, 1933) – fought between the Republic of Colombia and the Republic of Peru",1932,South America,1974-08-09 00:00:00
208,"Chaco War (June 15, 1932 – June 10, 1935) – fought between Bolivia and Paraguay over the disputed territory of Gran Chaco, resulting in a Paraguayan victory in 1935; an agreement dividing the territory was made in 1938, formally ending the conflict",1932,South America,1974-12-10 00:00:00
209,"Franklin D. Roosevelt is elected President of the United States in November 1932. Roosevelt initiates a widespread social welfare strategy called the ""New Deal"" to combat the economic and social devastation of the Great Depression. The economic agenda of the ""New Deal"" was a radical departure from previous laissez-faire economics.",1932,Politics,
210,"In 1932, the Polish Cipher Bureau broke the German Enigma cipher and overcame the ever-growing structural and operating complexities of the evolving Enigma machine with plugboard, the main German cipher device during World War II.",1932,Europe,
211,"The NSDAP (Nazi Party) under Adolf Hitler wins the German federal election, March 1933. Hitler becomes Chancellor of Germany. Following the 1934 death in office of Paul von Hindenburg, President of Germany, Hitler's cabinet passes a law proclaiming the presidency vacant and transferring the role and powers of the head of state to Hitler, hereafter known as Führer und Reichskanzler (leader and chancellor). The Weimar Republic effectively gives way to Nazi Germany, a totalitarian autocratic national socialist dictatorship committed to repudiating the Treaty of Versailles, persecuting and removing Jews and other minorities from German society, expanding Germany's territory, and opposing the spread of communism.",1933,Europe,
212,"In an effort to reduce unemployment, the United States government created work projects such as the Civilian Conservation Corps (CCC) which was a public work relief program that operated from 1933 to 1942 to maintain National Parks and build roads. Other major U.S. government work projects included Hoover Dam which was constructed between 1931 and 1936.",1933,Economics,
213,"Prohibition in the United States ended in 1933. On December 5, 1933, the ratification of the Twenty-first Amendment repealed the Eighteenth Amendment to the United States Constitution.",1933,Economics,
214,Edwin Armstrong invents wide-band frequency modulation radio in 1933.,1933,Technology,
215,"In 1933, the 3M company marketed Scotch Tape;",1933,Technology,
216,"Saudi–Yemeni War (March 1934 – May 12, 1934) – fought between Saudi Arabia and the Mutawakkilite Kingdom of Yemen",1934,Middle East,
217,"Newfoundland voluntarily returns to British colonial rule in 1934 amid its economic crisis during the Great Depression with the creation of the Commission of Government, a non-elected body.",1934,England,
218,"Mao Zedong's Chinese communists begin a large retreat from advancing nationalist forces, called the Long March, beginning in October 1934 and ending in October 1936 and resulting in the collapse of the Chinese Soviet Republic.",1934,Asia ,
219,"Second Italo-Ethiopian War (October 3, 1935 – February 19, 1937)",1935,Africa,
